fid,GRID_CODE,DATA_INCEN,CODI_FINAL,MUNICIPI,XMIN,XMAX,YMIN,YMAX,ANY,AREA
"623","2",24/07/13,"2013080287",Sant Mateu de Bages,1.67432214341,1.68073660204,41.8416833697,41.8488,"2013",0.21319648175957
"624","2",23/06/01,"2001080145",Castelldefels,1.9372406937,1.94803975969,41.2749837268,41.2806,"2001",0.321251003019295
"625","2",10/08/94,"1794372",Gualba,2.47795545655,2.68283835329,41.7179610041,41.8638,"1994",90.488979726473
"626","2",12/08/03,"2003080286",Jorba,1.49729827353,1.5097593814,41.624062378,41.6356,"2003",0.679377092352825
"627","2",22/03/02,"2002250054",Alins,1.30541300106,1.32399099908,42.574917351,42.5889,"2002",0.5587517288463
"628","2",06/07/94,"1794098",Colera,3.13862361697,3.16490595334,42.402482803,42.4203,"1994",2.29050706941212
"629","2",27/07/90,B90003017,TORRELAVIT,1.71999304162,1.72358455016,41.4598435586,41.4648,"1990",0.0937502906994033
"630","2",15/03/10,"2010250090",Bausen,0.69075034278,0.71477812028,42.835607465,42.8467,"2010",1.21437882776002
"631","2",25/07/04,"2004170040",Biure,2.90566880447,2.91380515998,42.3412036946,42.3471,"2004",0.242500754664566
"632","2",22/10/15,"2015430119",EL PINELL DE BRAI,0.49105529533,0.50125275456,41.0015959333,41.0066,"2015",0.202894146445623
"633","2",12/10/02,"2002170100",Roses,3.19243269147,3.20153373321,42.2558236763,42.2642,"2002",0.362501141534741
"634","2",22/07/93,"932500042",Coll de Nargó,1.23035333377,1.23373730997,42.1638395638,42.1668,"1993",0.0593751830404761
"635","2",05/03/05,"2005430005",El Perelló,0.68947382454,0.70905298082,40.8597463984,40.8721,"2005",1.03812823474951
"636","2",22/08/94,"894405",Olesa de Montserrat,1.905246858,1.91532030683,41.5368060294,41.5449,"1994",0.4122012738998
"637","2",15/05/90,B90011009,Castelldefels,1.95443512415,1.9604979965,41.2790873009,41.2858,"1990",0.121250375972242
"638","2",21/03/92,"922500022",Soriguera,1.19562569569,1.2107828253,42.375681415,42.3823,"1992",0.524376629736537
"639","2",06/07/86,"438600285",Querol,1.4748174409,1.58679202631,41.3582519142,41.4209,"1986",28.3041878257295
"640","2",26/03/90,B90040004,ULLASTRELL,1.9601344302,1.96641859079,41.5195864631,41.5241,"1990",0.121875377910718
"641","2",19/09/13,"2013430116",Tivissa,0.6981934648,0.73802373815,41.0575432828,41.0708,"2013",1.65625509359859
"642","2",27/05/09,"2009250141",La Portella,0.65514293269,0.66591710366,41.726016609,41.7392,"2009",0.282500870579852
"643","2",10/04/94,"2594166",Navès,1.69407804638,1.69868854901,42.0082181091,42.0154,"1994",0.208750655043809
"644","2",17/07/94,"2594108",Torà,1.44344582355,1.47123851742,41.8406339401,41.8726,"1994",2.95020914800117
"645","2",09/08/99,"1999080242",Castellví de la Marca,1.57664833991,1.58657315011,41.3322203241,41.3392,"1999",0.311875968643454
